,Date,Close,Volume,mom,mom1,mom2,mom3,ROC_5,ROC_10,ROC_15,ROC_20,EMA_10,EMA_20,EMA_50,EMA_200,DTB4WK,DTB3,DTB6,DGS5,DGS10,Oil,Gold,DAAA,DBAA,GBP,JPY,CAD,CNY,AAPL,AMZN,GE,JNJ,JPM,MSFT,WFC,XOM,FCHI,FTSE,GDAXI,GSPC,HSI,IXIC,SSEC,RUT,NYSE,TE1,TE2,TE3,TE5,TE6,DE1,DE2,DE4,DE5,DE6,CTB3M,CTB6M,CTB1Y,AUD,Brent,CAC.F,copper.F,WIT.oil,DAX.F,DJI.F,EUR,FTSE.F,gold.F,HSI.F,KOSPI.F,NASDAQ.F,GAS.F,Nikkei.F,NZD,silver.F,RUSSELL.F,S.P.F,CHF,Dollar.index.F,Dollar.index,wheat.F,XAG,XAU
202,14901,10978.62012,0.062238133,-0.014812895,0.007313727,-0.002865369,-0.000136063,-0.379117569,0.309741966,1.10958666,2.022016837,11014.1444,10913.50014,10698.49193,10512.61961,0.14,0.14,0.18,1.11,2.5,-0.042017818,-0.020661913,4.7,5.75,-0.012013369,0.004236582,0.015602725,6.03E-05,-0.026761001,-0.029897286,-0.011076923,-0.008925775,-0.013350837,-0.02788536,-0.012866988,-0.017501449,-0.007127416,-0.006721828,-0.003980576,-0.015877251,0.012541857,-0.017620296,0.01577746,-0.022502895,-0.019475399,2.36,2.36,2.32,0,0.04,1.05,3.25,5.57,5.61,5.61,0,-0.02631579,-0.02631579,-2.09,-3.88,-0.73,-2.47,-4.32,-0.44,-0.92,-1.53,-0.72,-2.63,1.55,-1.21,-1.29,2.39,0.42,-1.84,-2.59,-1.74,-1.23,1.27,1.66,1.62,-2.58,-4.14,-2.51
203,14902,11107.96973,-0.216333356,0.011781955,-0.014812895,0.007313727,-0.002865369,0.107151795,1.27939286,2.51668113,3.432810597,11031.20355,10932.02105,10714.54989,10518.54349,0.14,0.14,0.17,1.11,2.51,0.029659419,0,4.69,5.74,0.009047941,-0.005972382,-0.01035818,0.000889277,0.003360357,0,-0.001244617,0.004898041,0.010878191,0.008366494,0.0427699,0.01366706,0.00551065,0.004382966,0.005216682,0.010524076,-0.008720452,0.00838751,0.000698869,0.011467206,0.013492037,2.37,2.37,2.34,0,0.03,1.05,3.23,5.57,5.6,5.6,-0.055555556,-0.054054054,0,1.83,3.08,0.58,0.88,2.87,0.61,1.1,1.69,0.39,0.61,-1.05,0.79,0.79,0.74,-1.57,1.4,1.03,0.91,0.94,-1.01,-1.29,-1.29,2.52,2.44,0.82
204,14903,11146.57031,-1.527111551,0.003475035,0.011781955,-0.014812895,0.007313727,0.468697737,1.808364497,3.323311576,4.540717722,11052.17933,10952.45432,10731.49186,10524.79252,0.13,0.13,0.18,1.15,2.57,-0.023190529,0.003360717,4.71,5.77,-0.008405753,0.003022676,0.003521471,-0.000256005,-0.003252443,0.039705068,0.003115327,0.006132139,-0.01049861,0.004346148,0.016796914,0.004696228,0.013092517,0.005062054,0.013251483,0.001773909,0.003947126,0.000927826,-0.006797363,-0.005682856,-0.001081917,2.44,2.44,2.39,0,0.05,1.06,3.2,5.59,5.64,5.64,0.058823529,0.057142857,0.036036036,-0.89,-2.12,1.31,-0.32,-1.48,1.16,0.18,-0.34,0.6,-1.38,0.5,0.41,-0.18,-4.83,-0.11,-0.98,-3.69,-0.53,0.09,0.64,0.28,0.32,-3.09,-3.26,-1.55
207,14908,11169.45996,-0.559592702,0.000484605,0.002828661,-0.001256956,0.003475035,1.738286251,1.352578534,2.053412418,2.867160702,11099.92829,11005.39549,10779.48368,10543.43228,0.14,0.14,0.18,1.27,2.67,0.007317073,-0.005981308,4.78,5.8,0.008939069,0.006334686,0.004120071,0.000496375,-0.002557978,0.005621284,0.006226713,-0.002188184,0.003506906,0.028185747,0.007387286,0.004984925,-0.004480643,-0.007771244,-0.003827286,1.69E-05,-0.001128747,0.002585439,-0.0032362,-0.001356174,-0.002064576,2.53,2.53,2.49,0,0.04,1.02,3.13,5.62,5.66,5.66,0,0.081081081,0.058333333,-0.56,0.14,-0.57,0.18,0.04,-0.25,0.08,-0.75,-0.79,-0.02,-0.56,-0.08,0.36,1.12,-0.74,-0.52,2.42,-0.23,0,1.17,0.79,0.79,3.65,0.85,-0.04
208,14909,11126.28027,0.779028688,-0.003865871,0.000484605,0.002828661,-0.001256956,0.164841519,0.272169945,1.446343349,2.685671184,11104.71956,11016.90832,10793.08354,10549.23176,0.14,0.14,0.18,1.34,2.75,-0.008474576,-0.003760812,4.8,5.84,-0.004794916,0.004204766,0.004337632,0.002691122,-0.000714089,-0.014357176,-0.003093998,-0.004229323,0.009139785,0.005791467,-0.006175222,-0.012926515,-0.009575175,-0.010740597,-0.006924885,-0.002690584,-0.018501577,0.00239058,-0.014629046,-0.00381935,-0.006630064,2.61,2.61,2.57,0,0.04,1.04,3.09,5.66,5.7,5.7,0,0,0.05511811,-1.37,-0.51,-0.94,-2.36,-0.74,-0.8,-0.47,-0.66,-1.04,-1.18,-2.12,-0.74,0.37,-1.85,0.53,0.03,-2.97,-0.26,-0.34,0.47,0.6,0.57,0.61,-1.22,-1.09
209,14910,11113.9502,0.178216289,-0.001108194,-0.003865871,0.000484605,0.002828661,-0.292647129,0.174678978,1.510425241,3.020938871,11106.39786,11026.15041,10805.66655,10554.85085,0.14,0.13,0.18,1.23,2.69,0.003663004,0.006795017,4.81,5.85,0,0,0,0.001064564,-0.008413803,-0.003999755,-0.001862259,-0.000157291,-0.000799228,0.008829252,0.00737868,0.008375255,0.004997699,0.00565,0.004153439,0.001124849,0.001997847,0.001641902,-0.001491132,-0.004543901,0.003205507,2.55,2.56,2.51,-0.01,0.04,1.04,3.16,5.67,5.72,5.71,0,-0.075,-0.082089552,0.7,0.43,0.62,0.32,0.29,0.48,-0.21,1.18,0.55,1.51,0.23,0.06,0.09,18.17,-0.43,0.86,2.02,-0.84,0.04,-0.53,-1.12,-1.07,2.06,1.95,1.44
212,14915,11188.71973,-0.489424033,0.005761959,0.000551323,0.000408499,-0.001108194,0.172432383,1.913716002,1.5273432,2.229385549,11125.54802,11057.31705,10844.03001,10572.26824,0.13,0.13,0.16,1.15,2.63,0.011695201,-0.002583979,4.66,5.71,0.000738409,0.001902843,-0.005303998,0.003332983,0.017029414,0.012486154,-0.000626959,0.002983231,-0.012292865,0.016326456,0.001542576,0.013293488,0.006406967,0.011027957,0.007486941,0.007759284,0.000781318,0.011449806,-0.002811675,0.020513652,0.009712097,2.5,2.5,2.47,0,0.03,1.05,3.08,5.55,5.58,5.58,0,0,-0.017094017,1.26,0.93,0.61,1.43,1.15,0.78,0.56,1.07,1.2,0.46,0.11,0.03,1,0.99,0.11,0.55,1.16,1.99,0.82,-1.25,-0.76,-0.75,-1.56,1.18,0.43
213,14916,11215.12988,-103.5439074,0.002360427,0.005761959,0.000551323,0.000408499,0.798556281,0.964714152,1.072899656,2.256449496,11141.83563,11072.34685,10858.58295,10578.66487,0.13,0.13,0.16,1.11,2.67,0.006435467,-0.004071059,4.78,5.83,-0.001715456,0.001353058,-0.003851091,-0.00213979,0.011119741,0.023449365,0.007528168,0.004852865,0.020562825,-0.013143411,0.018867925,0.001916347,-0.00589283,-0.001458975,-0.005486708,0.003678054,0.019992464,0.002664277,-0.004743509,0.003156167,0.003464724,2.54,2.54,2.51,0,0.03,1.05,3.16,5.67,5.7,5.7,0,0,-0.034782609,0.6,1.14,-0.58,-1.38,0.94,-0.7,0.22,0.75,-0.18,-1.42,1.63,0.93,0.65,-0.88,1.39,2,-1.61,0.43,0.38,-0.73,-0.35,-0.31,-0.11,-0.36,-0.65
214,14917,11434.83984,-0.992470786,0.019590496,0.002360427,0.005761959,0.000551323,2.887269093,2.586172454,3.066991523,4.441304375,11195.10912,11106.86999,10881.18126,10587.18403,0.13,0.13,0.17,1.04,2.53,0.024156306,0.026384244,4.75,5.77,0.004654972,0.004735509,-0.000396511,-0.000509852,0.017487222,0.002730409,0.028019989,0.008879888,0.055143106,0.004069478,0.037792896,0.020744387,0.019214479,0.019794713,0.017662991,0.019282863,0.016192433,0.014592964,0.018459633,0.025617371,0.022872061,2.4,2.4,2.36,0,0.04,1.02,3.24,5.6,5.64,5.64,0.0625,-0.029411765,-0.063063063,0.86,1.88,1.93,3.33,2.13,1.82,1.88,0.39,1.94,3.41,2.02,0.3,0.94,0.52,0.67,1.04,6.58,2.22,1.77,-1.47,-0.81,-0.78,3.67,6.08,3.27
215,14918,11444.08008,-2.676227328,0.000808077,0.019590496,0.002360427,0.005761959,2.928363808,2.798282875,3.446690575,3.975835965,11240.37657,11138.98524,10903.25572,10595.71035,0.13,0.13,0.16,1.1,2.58,0.004162331,0.010499638,4.78,5.85,0.010497953,-0.003380654,-0.00592027,-0.001935426,-0.003581861,0.010892151,0.013325257,-0.001698579,0.028643217,-0.010685299,0.064093229,0.008936337,-1.28E-05,0.00214916,0.002896979,0.003922753,0.013905877,0.000636273,0.013786507,0.004267451,0.002342453,2.45,2.45,2.42,0,0.03,1.07,3.27,5.69,5.72,5.72,-0.058823529,0.151515152,0.057692308,0.19,0.13,-0.04,0.97,0.42,0.27,-0.1,-1.17,0.09,1.06,1.01,0.22,0.01,2.1,3.1,0.11,2.71,0.55,0.29,0.42,0.91,0.88,1.18,1.4,0.08
