Datetime,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,Powercosump
1483228800,6.559,73.8,0.083,0.051,0.119,70425.53544
1483229400,6.414,74.5,0.083,0.07,0.085,69320.84387
1483230000,6.313,74.5,0.08,0.062,0.1,67803.22193
1483230600,6.121,75,0.083,0.091,0.096,65489.23209
1483231200,5.921,75.7,0.081,0.048,0.085,63650.44627
1483231800,5.853,76.9,0.081,0.059,0.108,62171.34398
1483232400,5.641,77.7,0.08,0.048,0.096,60937.36065
1483233000,5.496,78.2,0.085,0.055,0.093,59566.75124
1483233600,5.678,78.1,0.081,0.066,0.141,58030.61931
1483234200,5.491,77.3,0.082,0.062,0.111,57012.92027
1483234800,5.516,77.5,0.081,0.051,0.108,55970.64741
1483235400,5.471,76.7,0.083,0.059,0.126,55152.85838
1483236000,5.059,78.6,0.081,0.07,0.096,54290.73952
1483236600,4.968,78.8,0.084,0.07,0.134,52861.79492
1483237200,4.975,78.9,0.083,0.055,0.152,52186.32556
1483237800,4.897,79.1,0.083,0.07,0.096,51605.46517
1483238400,5.02,79.7,0.081,0.051,0.134,51161.38219
1483239000,5.407,78.5,0.082,0.062,0.163,50433.58248
1483239600,5.169,77.9,0.083,0.066,0.108,49783.65137
1483240200,5.081,77.7,0.084,0.051,0.13,49429.18669
1483240800,5.041,77.2,0.081,0.062,0.152,49080.25071
1483241400,5.034,76.9,0.083,0.051,0.185,48935.40873
1483242000,4.896,76.6,0.085,0.07,0.137,48337.87191
1483242600,4.805,76.2,0.081,0.059,0.134,47920.31588
1483243200,4.753,75.7,0.083,0.044,0.134,47930.28589
1483243800,4.901,74.4,0.083,0.07,0.122,47966.29235
1483244400,5.203,74.1,0.085,0.062,0.096,47689.36584
1483245000,5.394,71.9,0.081,0.073,0.1,47617.84176
1483245600,5.156,74,0.079,0.062,0.148,47649.26273
1483246200,5.179,74.2,0.083,0.037,0.137,47434.78151
1483246800,4.934,72.9,0.082,0.055,0.134,47592.71926
1483247400,4.718,75.8,0.08,0.051,0.152,47580.32783
1483248000,5.546,74,0.082,0.055,0.093,47737.38924
1483248600,4.658,73.5,0.08,0.044,0.104,48289.70354
1483249200,4.382,76.9,0.081,0.073,0.148,48601.17678
1483249800,4.212,78.3,0.081,0.117,0.082,49831.75221
1483250400,4.308,77.2,0.081,0.062,0.126,51196.74761
1483251000,4.735,74.3,0.08,0.04,0.156,50510.62736
1483251600,4.769,75.6,0.082,0.099,0.063,50028.49242
1483252200,4.92,73.7,0.083,0.099,0.096,49718.62612
1483252800,4.408,76.7,0.082,0.037,0.119,49324.57498
1483253400,4.29,77,0.085,0.033,0.193,47773.10222
1483254000,4.304,76,0.082,0.048,0.152,45818.7028
1483254600,4.513,74.6,0.084,0.055,0.134,43436.58822
1483255200,4.489,74.3,0.082,0.081,0.119,41319.42025
1483255800,4.356,72.3,0.082,0.07,0.119,39980.13511
1483256400,4.478,72.2,0.083,0.073,0.089,39239.45792
1483257000,4.583,71,0.083,0.066,0.104,39465.96732
1483257600,4.794,72,0.084,0.187,0.145,40045.7283
1483258200,4.807,73.1,0.082,0.955,0.949,41172.04459
1483258800,4.757,73.5,0.083,3.188,3.134,42252.13421
1483259400,4.509,74.5,0.084,6.643,6.494,42962.05861
1483260000,4.346,74.8,0.082,12.64,10.13,43709.47215
1483260600,4.718,73.7,0.081,58.97,17,45062.72149
1483261200,4.704,71.8,0.083,82.5,20.15,46451.30854
1483261800,4.624,74.1,0.082,106.9,22.55,47675.14353
1483262400,4.629,74.8,0.083,132.1,24.3,49020.98433
1483263000,4.599,74,0.082,156.1,26.9,50299.26756
1483263600,4.524,74.7,0.081,182.4,28.19,51682.41693
1483264200,4.575,74.5,0.082,208.8,29.2,53349.35198
1483264800,5.124,73.7,0.076,234.8,29.23,54677.74672
1483265400,5.836,71.3,2.66,257.9,31.01,56185.99773
1483266000,5.996,69.85,4.93,282.7,31.96,57125.30575
1483266600,6.22,68.81,4.924,307,32.42,58220.10518
1483267200,6.703,68.01,4.923,327.6,33.22,59553.8367
1483267800,6.993,66.14,4.918,349.6,33.41,60558.95241
1483268400,7.54,64.21,4.916,371.1,33.43,61813.86079
1483269000,8.22,61.9,4.916,388.2,33.89,62338.32489
1483269600,9.49,59.3,2.451,401.3,34.4,62986.39953
1483270200,10.65,56.03,0.084,419.5,35.29,63276.73455
1483270800,11.06,53.52,0.082,430.9,37.58,63742.94935
1483271400,12.4,53.26,0.08,437.5,43.46,64208.34045
1483272000,13.08,54.36,0.077,450.4,43.2,64338.75552
1483272600,14.38,54.42,0.076,470.5,37.92,64427.06895
1483273200,15.02,56.46,0.074,480,38.81,64694.0724
1483273800,15.55,58.7,0.075,486.1,39.46,65244.45357
1483274400,15.56,59.23,0.076,490.2,40.92,65265.77736
1483275000,15.49,59.3,0.076,495.9,40.9,65612.7177
1483275600,15.57,58.06,0.077,498.1,40.94,66138.1092
1483276200,15.65,58.7,0.077,498.1,42.75,66190.34719
1483276800,15.73,59.33,0.076,498.8,44.65,65758.1403
1483277400,15.68,58.6,0.079,497,44.26,66045.52579
1483278000,15.7,55.29,0.074,489.2,39.32,65793.35509
1483278600,15.75,52.45,0.077,482.4,38.65,65524.48738
1483279200,15.83,54.99,0.079,476.1,39.49,65393.06735
1483279800,15.79,56.66,0.076,467.7,39.94,65212.18976
1483280400,15.72,55.86,0.077,456.1,39.95,65084.69718
1483281000,15.8,54.06,0.075,449.2,41.52,64771.50542
1483281600,15.74,55.56,0.075,437.4,44.13,64428.53803
1483282200,15.72,56.69,0.077,422,43.87,64336.45427
1483282800,15.64,57.26,0.077,409,44.9,64219.60543
1483283400,15.69,57.96,0.074,391.8,46.89,64206.00936
1483284000,15.69,58.93,0.075,369.4,51.51,63558.76556
1483284600,15.6,58.7,0.073,321,57.14,63195.01028
1483285200,15.39,57.6,0.075,180.3,60.31,63131.42064
1483285800,15.34,58.7,0.075,149.5,67.85,62903.52669
1483286400,15.33,59.23,0.077,209.1,128.9,62739.04185
1483287000,15.48,57.46,0.074,265.1,219.1,62474.35679
1483287600,15.54,58.3,0.076,241.3,246,62074.96107
1483288200,15.53,58.8,0.077,219,248.1,62314.09786
1483288800,15.48,57.73,0.075,195.7,231.6,62637.97887
1483289400,15.47,58.23,0.077,174.9,211.9,63490.98625
1483290000,15.44,59.07,0.076,165.8,201.7,65151.26906
1483290600,15.35,59.3,0.077,132,163,68929.33162
1483291200,15.34,59,0.079,117.4,144.3,74776.23024
1483291800,15.11,59.53,0.076,97.6,120.6,81973.88426
1483292400,14.93,60.83,0.077,76.5,94,87114.14556
1483293000,14.71,61.87,0.086,26.51,28.08,88817.85894
1483293600,14.48,63.27,0.08,18,18.29,89560.52977
1483294200,14.29,63.94,0.078,6.994,7.02,89600.47367
1483294800,14.09,64.87,0.078,2.818,2.763,89395.51625
1483295400,13.89,66.11,0.076,0.809,0.89,89513.8099
1483296000,13.79,66.74,0.076,0.146,0.197,89818.18089
1483296600,13.54,66.71,0.076,0.062,0.089,90372.08508
1483297200,12.51,68.35,0.077,0.055,0.085,90459.10787
1483297800,12.06,70.2,0.078,0.066,0.096,90975.77884
1483298400,11.75,70.7,0.079,0.055,0.126,91079.64071
1483299000,11.61,70.7,0.077,0.081,0.126,91218.92273
1483299600,11.5,70.6,0.078,0.059,0.074,91699.15224
1483300200,11.43,70.7,0.076,0.048,0.093,91751.87352
1483300800,11.42,71.2,0.076,0.073,0.085,91672.09083
1483301400,11.69,71.1,0.078,0.091,0.104,91928.19676
1483302000,12.05,69.82,0.077,0.048,0.108,92349.75555
1483302600,11.87,69.98,0.076,0.051,0.093,92742.22601
1483303200,11.61,71.2,0.078,0.04,0.119,92658.09657
1483303800,11.5,72,0.078,0.07,0.078,92276.94573
1483304400,11.43,72,0.075,0.051,0.07,90948.03568
1483305000,11.29,72.2,0.075,0.051,0.119,90163.15438
1483305600,11.49,73.1,0.077,0.044,0.085,89649.88851
1483306200,12.24,70.1,0.077,0.073,0.089,88830.03764
1483306800,11.84,68.78,0.074,0.066,0.093,87438.63256
1483307400,12.2,68.78,0.074,0.066,0.122,86334.03444
1483308000,13.1,65.44,0.074,0.04,0.141,84930.79152
1483308600,13.2,63.84,0.074,0.081,0.093,83683.18075
1483309200,13.18,63.97,0.075,0.081,0.093,81294.89998
1483309800,12.64,66.77,0.072,0.044,0.141,79736.44857
1483310400,12.39,68.04,0.074,0.084,0.115,77982.93284
1483311000,12.24,69.18,0.077,0.059,0.119,76102.53298
1483311600,12.11,69.94,0.074,0.088,0.082,74057.22885
1483312200,12.07,70.7,0.076,0.033,0.078,72523.47217
1483312800,11.99,70.8,0.075,0.055,0.134,70945.30824
1483313400,11.32,74.7,0.075,0.07,0.1,68756.76906
1483314000,11.37,74.8,0.074,0.084,0.082,67165.75457
1483314600,11.41,74.1,0.076,0.077,0.122,65096.357
1483315200,11.01,75.8,0.076,0.033,0.163,62667.35846
1483315800,10.74,77.3,0.078,0.084,0.108,61026.11029
1483316400,10.47,78.2,0.078,0.088,0.13,59728.31136
1483317000,10.31,79.2,0.076,0.091,0.134,58343.58633
1483317600,10.63,79.3,0.079,0.037,0.152,57257.22885
1483318200,10.84,78.4,0.073,0.062,0.156,56153.48361
1483318800,10.94,78.1,0.074,0.084,0.108,54993.10532
1483319400,11.12,77.9,0.073,0.055,0.145,53731.49842
1483320000,11.02,77.5,0.081,0.062,0.178,52966.95655
1483320600,10.5,78.9,0.076,0.066,0.145,51659.23244
1483321200,10.22,79.8,0.078,0.088,0.126,51103.51448
1483321800,10.42,81.3,0.075,0.073,0.13,50561.06139
1483322400,10.86,80,0.076,0.066,0.159,50233.17261
1483323000,11.17,77.3,0.077,0.066,0.13,49507.15963
1483323600,11.1,75.6,0.077,0.077,0.156,49001.84455
1483324200,11.14,75,0.081,0.07,0.156,48636.84269
1483324800,11.21,75.2,0.077,0.062,0.137,48579.55227
1483325400,10.71,77.4,0.079,0.07,0.148,47726.26132
1483326000,10.7,77.7,0.079,0.062,0.159,47846.19395
1483326600,10.58,78.6,0.075,0.055,0.137,47582.81232
1483327200,10.59,79.5,0.078,0.084,0.145,47474.41536
1483327800,10.68,79.4,0.079,0.059,0.156,47348.47285
1483328400,10.52,79.8,0.076,0.066,0.145,47166.58032
1483329000,10.34,80.6,0.078,0.088,0.119,46730.57749
1483329600,10.18,81.7,0.079,0.059,0.159,46472.35576
1483330200,10.41,82.3,0.074,0.077,0.126,46711.72496
1483330800,10.41,81.4,0.078,0.095,0.134,46912.30805
1483331400,10.39,81.5,0.074,0.088,0.119,47143.11947
1483332000,10.16,81.9,0.075,0.073,0.122,47146.9005
1483332600,9.97,82.8,0.077,0.066,0.178,47135.31288
1483333200,10.03,83.8,0.08,0.029,0.163,47416.95006
1483333800,9.98,83,0.078,0.073,0.115,47957.23049
1483334400,9.74,82.8,0.081,0.106,0.126,48380.64787
1483335000,9.54,83.7,0.078,0.081,0.174,48726.70475
1483335600,9.53,83.9,0.072,0.066,0.182,49272.61335
1483336200,9.56,84.1,0.073,0.077,0.134,51052.8585
1483336800,9.58,84.5,0.075,0.048,0.134,52700.07391
1483337400,9.44,84.1,0.075,0.07,0.145,52640.20144
1483338000,9.4,84.4,0.077,0.07,0.122,53147.92304
1483338600,9.38,84.6,0.076,0.044,0.141,53636.4402
1483339200,9.16,84.7,0.077,0.048,0.145,53976.70894
1483339800,9.06,85.6,0.076,0.059,0.141,53759.4197
1483340400,9.17,85.8,0.078,0.073,0.163,53387.54799
1483341000,9.46,86.2,0.076,0.07,0.152,52897.30853
1483341600,9.74,85.4,0.072,0.077,0.111,51820.30973
1483342200,9.8,84.4,0.077,0.081,0.122,51185.83117
1483342800,9.58,83.9,0.079,0.073,0.13,50205.35678
1483343400,9.51,83.7,0.082,0.081,0.137,49313.00672
1483344000,9.44,83.2,0.084,0.124,0.223,49678.82662
1483344600,9.18,82.5,0.083,0.871,0.89,50992.94086
1483345200,8.96,83.4,0.083,2.95,2.867,52404.07269
1483345800,8.71,83.9,0.081,6.657,6.472,53867.68128
1483346400,8.52,85.1,0.081,13.02,11.56,54486.89077
1483347000,8.43,85.4,0.079,39.1,19.49,55025.25577
1483347600,8.44,85.9,0.08,64.11,24.49,55865.53629
1483348200,8.69,86.7,0.079,92.3,27.88,54274.14276
1483348800,9.02,86.7,0.082,117.2,30.43,55206.19355
1483349400,9.17,86.9,0.079,134.7,33.24,56072.66693
1483350000,10.48,87,0.079,169.2,35.2,57284.66274
1483350600,11.13,83.5,0.08,194,36.92,58709.64787
1483351200,11.68,81.7,0.08,218.3,39.07,59532.05945
1483351800,12.22,78,0.075,246.6,40.01,60388.50953
1483352400,12.61,74.8,0.076,270.6,40.59,61588.73082
1483353000,13.07,72.7,0.075,288.3,42.31,62216.609
1483353600,13.61,70.2,0.077,309.8,43.74,62702.03746
1483354200,14,69.22,0.077,337.2,43.39,63873.95073
1483354800,14.55,64.11,0.077,360.7,41.43,64590.19773
1483355400,14.94,58.46,0.077,381.4,41.13,64771.61624
