time,temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,Power
1483315200,28.5,85,24.5,1.44,1.26,146,162,1.4,0.1635
1483318800,28.4,86,24.7,2.06,3.99,151,158,4.4,0.1424
1483322400,26.8,91,24.5,1.3,2.78,148,150,3.2,0.1214
1483326000,27.4,88,24.3,1.3,2.69,58,105,1.6,0.1003
1483329600,27.3,88,24.1,2.47,4.43,58,84,4,0.0793
1483333200,27.6,90,25.2,2.73,5.59,66,80,4.5,0.0778
1483336800,26.7,92,24.9,2.1,5.82,65,78,4.7,0.0959
1483340400,28.4,91,26.1,3.1,6.24,69,78,4.8,0.1141
1483344000,30.2,88,27,3.54,6.89,74,81,5.8,0.1322
1483347600,34,82,29.1,3.44,6.01,82,86,6.5,0.1503
1483351200,35.6,73,27.7,3.71,5.32,93,95,8,0.1684
1483354800,36.2,69,27,3.22,4.65,97,99,8.1,0.1866
1483358400,36.2,71,27.6,3.22,4.55,97,99,7.5,0.2066
1483362000,35.9,73,28.2,2.7,3.92,92,96,7.3,0.2286
1483365600,36.2,75,28.9,3.31,4.81,93,94,7,0.2506
1483369200,35.4,80,29.8,2.8,4.82,92,95,7.1,0.2726
1483372800,32.3,90,29.8,2.5,5.53,90,96,5.4,0.2945
1483376400,32.8,92,30.8,2.7,6.07,90,99,4.6,0.3165
1483380000,34.9,90,32.3,2.75,5.81,80,93,5.1,0.3162
1483383600,35.7,92,33.8,2.45,5.79,102,108,5.6,0.2936
1483387200,35.7,94,34.1,1.27,3.11,45,84,4.5,0.271
1483390800,35.5,95,34.1,2.69,5.35,105,107,4.9,0.2484
1483394400,35.7,95,34.3,3.51,6.91,110,112,6.6,0.2257
1483398000,36,95,34.8,2.94,6.15,100,112,6.8,0.2031
1483401600,36.1,96,35.1,2.94,5.6,72,92,5.5,0.1805
1483405200,36.6,97,35.8,2.82,5.77,113,118,6.1,0.1579
1483408800,36.6,99,36.2,1.39,3.39,111,135,5.2,0.1353
1483412400,36.6,99,36.4,1.61,2.42,30,83,3,0.1127
1483416000,36.3,100,36.2,1.17,1.63,20,43,3.1,0.0901
1483419600,36.5,100,36.4,1.8,2.82,56,67,2.9,0.0858
1483423200,35.9,100,35.8,1.68,3.86,73,80,4.3,0.0998
1483426800,36.3,100,36.2,1.8,3.45,56,80,3.6,0.1138
1483430400,36.6,100,36.5,2.51,4.62,61,72,4.5,0.1278
1483434000,37.4,99,37.2,2.5,4.9,53,70,4.8,0.1418
